ED;ID;Setor;Prox.Setor
961;1;Jurídico;966
867;2;Vendas;872
310;3;Pesquisa e Desenvolvimento;320
990;4;Gerenciamento;997
807;5;Pesquisa e Desenvolvimento;863
914;6;Vendas;923
273;7;Financeiro;278
845;8;Marketing;869
890;9;Marketing;894
498;10;Pesquisa e Desenvolvimento;508
702;11;Financeiro;716
459;12;Serviço ao Cliente;463
53;13;Gerenciamento;58
871;14;Jurídico;921
559;15;Serviço ao Cliente;563
631;16;Vendas;678
463;17;Serviço ao Cliente;469
212;18;Gerenciamento;222
481;19;Marketing;484
616;20;Financeiro;633
551;21;Jurídico;572
698;22;Financeiro;702
605;23;Serviço ao Cliente;611
421;24;Jurídico;422
749;25;Relações Públicas;755
852;26;Recursos Humanos;857
228;27;Financeiro;237
672;28;Recursos Humanos;703
254;29;Jurídico;264
688;30;Suporte Técnico;691
723;31;Serviço ao Cliente;732
918;32;Pesquisa e Desenvolvimento;975
564;33;Vendas;590
70;34;Vendas;76
561;35;Vendas;564
725;36;Financeiro;734
284;37;Suporte Técnico;338
67;38;Pesquisa e Desenvolvimento;78
119;39;Suporte Técnico;128
277;40;Suporte Técnico;284
955;41;Vendas;964
684;42;Relações Públicas;697
182;43;Serviço ao Cliente;207
300;44;Serviço ao Cliente;307
995;45;Suporte Técnico;1000
628;46;Recursos Humanos;637
545;47;Relações Públicas;555
754;48;Financeiro;819
282;49;Recursos Humanos;287
940;50;Vendas;941
495;51;Financeiro;497
132;52;Relações Públicas;150
72;53;Jurídico;91
618;54;Recursos Humanos;628
654;55;Gerenciamento;662
304;56;Vendas;309
44;57;Pesquisa e Desenvolvimento;49
543;58;Serviço ao Cliente;559
658;59;Pesquisa e Desenvolvimento;686
627;60;Gerenciamento;632
28;61;Financeiro;40
398;62;Serviço ao Cliente;414
204;63;Financeiro;209
881;64;Pesquisa e Desenvolvimento;884
887;65;Financeiro;922
233;66;Recursos Humanos;239
138;67;Financeiro;141
803;68;Vendas;810
904;69;Marketing;909
744;70;Jurídico;752
148;71;Suporte Técnico;154
16;72;Serviço ao Cliente;29
59;73;Recursos Humanos;73
46;74;Relações Públicas;64
68;75;Gerenciamento;88
259;76;Vendas;261
516;77;Vendas;517
964;78;Vendas;968
123;79;Financeiro;124
186;80;Suporte Técnico;190
424;81;Recursos Humanos;425
25;82;Gerenciamento;34
571;83;Recursos Humanos;575
296;84;Jurídico;314
220;85;Relações Públicas;241
978;86;Recursos Humanos;981
934;87;Vendas;940
17;88;Financeiro;28
367;89;Relações Públicas;380
938;90;Marketing;948
315;91;Vendas;321
531;92;Serviço ao Cliente;536
843;93;Suporte Técnico;844
753;94;Financeiro;754
783;95;Suporte Técnico;790
108;96;Pesquisa e Desenvolvimento;117
235;97;Jurídico;245
661;98;Jurídico;663
945;99;Recursos Humanos;946
902;100;Pesquisa e Desenvolvimento;905
958;101;Relações Públicas;982
392;102;Vendas;396
910;103;Suporte Técnico;928
266;104;Suporte Técnico;269
141;105;Financeiro;170
21;106;Relações Públicas;33
743;107;Pesquisa e Desenvolvimento;773
361;108;Financeiro;374
401;109;Marketing;404
208;110;Suporte Técnico;214
814;111;Relações Públicas;836
639;112;Pesquisa e Desenvolvimento;641
116;113;Suporte Técnico;119
667;114;Relações Públicas;669
637;115;Recursos Humanos;656
662;116;Gerenciamento;666
355;117;Serviço ao Cliente;371
343;118;Suporte Técnico;356
519;119;Recursos Humanos;524
649;120;Suporte Técnico;651
869;121;Marketing;890
454;122;Financeiro;466
345;123;Relações Públicas;357
895;124;Gerenciamento;906
819;125;Financeiro;825
354;126;Vendas;366
617;127;Marketing;624
956;128;Relações Públicas;958
675;129;Serviço ao Cliente;692
15;130;Financeiro;17
130;131;Marketing;147
447;132;Suporte Técnico;452
813;133;Serviço ao Cliente;822
984;134;Financeiro;986
92;135;Marketing;109
635;136;Suporte Técnico;638
968;137;Vendas;0
764;138;Jurídico;765
276;139;Gerenciamento;286
642;140;Gerenciamento;652
441;141;Recursos Humanos;448
859;142;Recursos Humanos;862
169;143;Vendas;173
464;144;Vendas;490
207;145;Serviço ao Cliente;226
916;146;Serviço ao Cliente;937
334;147;Pesquisa e Desenvolvimento;337
239;148;Recursos Humanos;243
537;149;Jurídico;551
879;150;Gerenciamento;882
478;151;Gerenciamento;479
368;152;Marketing;381
673;153;Gerenciamento;676
751;154;Gerenciamento;761
530;155;Suporte Técnico;534
149;156;Pesquisa e Desenvolvimento;156
301;157;Gerenciamento;332
710;158;Marketing;713
679;159;Marketing;685
390;160;Financeiro;394
55;161;Vendas;70
861;162;Serviço ao Cliente;876
576;163;Jurídico;582
