ED;ID;Estado_Civil
1;657;Solteiro
2;335;Casado
3;896;Viúvo
4;619;Solteiro
5;226;Divorciado
6;691;Casado
7;653;Viúvo
8;266;Divorciado
9;546;Solteiro
10;494;Casado
11;838;Casado
12;199;Solteiro
13;762;Solteiro
14;447;Divorciado
15;130;Divorciado
16;72;Divorciado
17;88;Casado
18;371;Divorciado
19;276;Solteiro
20;676;Solteiro
21;106;Viúvo
22;223;Viúvo
23;527;Divorciado
24;529;Divorciado
25;82;Viúvo
26;879;Casado
27;730;Solteiro
28;61;Viúvo
29;739;Casado
30;459;Divorciado
31;808;Casado
32;432;Solteiro
33;253;Divorciado
34;395;Casado
35;660;Viúvo
36;382;Viúvo
37;296;Solteiro
38;216;Solteiro
39;481;Solteiro
40;334;Viúvo
41;385;Casado
42;538;Viúvo
43;406;Casado
44;57;Solteiro
45;553;Viúvo
46;74;Viúvo
47;260;Divorciado
48;868;Divorciado
49;171;Casado
50;779;Solteiro
51;835;Divorciado
52;688;Viúvo
53;13;Viúvo
54;578;Viúvo
55;161;Solteiro
56;437;Divorciado
57;597;Divorciado
58;684;Viúvo
59;73;Divorciado
60;850;Casado
61;715;Solteiro
62;985;Solteiro
63;995;Solteiro
64;517;Casado
65;328;Divorciado
66;519;Divorciado
67;38;Solteiro
68;75;Viúvo
69;787;Solteiro
70;34;Viúvo
71;500;Casado
72;53;Casado
73;320;Divorciado
74;275;Casado
75;703;Solteiro
76;767;Solteiro
77;751;Casado
78;210;Casado
79;815;Casado
80;998;Solteiro
81;424;Divorciado
82;248;Casado
83;321;Casado
84;539;Solteiro
85;516;Divorciado
86;961;Casado
87;697;Solteiro
88;166;Viúvo
89;566;Divorciado
90;413;Viúvo
91;888;Casado
92;135;Divorciado
93;304;Casado
94;788;Divorciado
95;330;Solteiro
96;234;Divorciado
97;219;Casado
98;410;Viúvo
99;323;Casado
100;931;Viúvo
101;775;Solteiro
102;629;Solteiro
103;863;Divorciado
104;498;Solteiro
105;811;Viúvo
106;631;Casado
107;273;Divorciado
108;96;Divorciado
109;720;Divorciado
110;935;Solteiro
111;373;Viúvo
112;550;Divorciado
113;165;Solteiro
114;204;Solteiro
115;431;Solteiro
116;113;Divorciado
117;470;Casado
118;671;Solteiro
119;39;Divorciado
120;718;Viúvo
121;522;Viúvo
122;862;Divorciado
123;79;Casado
124;420;Solteiro
125;540;Casado
126;396;Solteiro
127;286;Viúvo
128;920;Casado
129;973;Viúvo
130;131;Divorciado
131;523;Viúvo
132;52;Viúvo
133;218;Viúvo
134;594;Viúvo
135;680;Viúvo
136;627;Solteiro
137;893;Casado
138;67;Viúvo
139;963;Divorciado
140;943;Solteiro
141;105;Viúvo
142;584;Viúvo
143;890;Divorciado
144;658;Divorciado
145;748;Viúvo
146;746;Casado
147;442;Viúvo
148;71;Divorciado
149;156;Viúvo
150;388;Solteiro
151;678;Viúvo
152;249;Solteiro
153;723;Divorciado
154;885;Casado
155;633;Divorciado
156;327;Casado
157;557;Viúvo
158;947;Casado
159;380;Viúvo
160;230;Divorciado
161;460;Viúvo
162;872;Divorciado
163;237;Casado
164;830;Solteiro
165;996;Solteiro
166;428;Casado
167;398;Divorciado
168;814;Divorciado
169;143;Divorciado
170;593;Divorciado
171;647;Solteiro
172;856;Solteiro
173;755;Divorciado
174;625;Divorciado
175;183;Divorciado
176;851;Casado
177;812;Viúvo
178;793;Solteiro
179;329;Viúvo
180;967;Solteiro
181;717;Casado
182;43;Casado
183;173;Solteiro
184;366;Casado
185;456;Casado
186;80;Viúvo
187;378;Divorciado
188;934;Divorciado
189;847;Divorciado
190;820;Viúvo
191;950;Solteiro
192;350;Viúvo
193;252;Viúvo
194;461;Viúvo
195;724;Casado
196;383;Divorciado
197;777;Casado
198;294;Divorciado
199;664;Casado
200;167;Solteiro
201;891;Solteiro
202;355;Solteiro
203;722;Solteiro
204;63;Viúvo
205;645;Casado
206;240;Viúvo
207;145;Viúvo
208;110;Viúvo
209;778;Viúvo
210;816;Casado
211;512;Casado
212;18;Solteiro
213;818;Casado
214;169;Divorciado
215;582;Casado
216;505;Solteiro
217;318;Viúvo
218;672;Casado
219;577;Divorciado
220;85;Viúvo
221;259;Solteiro
222;565;Viúvo
223;921;Viúvo
224;649;Solteiro
225;673;Casado
226;774;Divorciado
