ED;ID;Estado
26;879;BA
33;253;BA
136;627;BA
152;249;BA
170;593;BA
172;856;BA
175;183;BA
180;967;BA
199;664;BA
202;355;BA
261;750;BA
272;745;BA
277;40;BA
288;490;BA
300;44;BA
311;364;BA
315;91;BA
332;799;BA
337;272;BA
355;117;BA
368;152;BA
372;969;BA
385;957;BA
399;734;BA
411;881;BA
421;24;BA
422;363;BA
489;203;BA
511;701;BA
521;630;BA
522;733;BA
589;833;BA
601;356;BA
608;986;BA
609;202;BA
652;683;BA
727;284;BA
749;25;BA
798;180;BA
863;466;BA
868;993;BA
869;121;BA
916;146;BA
921;571;BA
959;826;BA
962;768;BA
976;261;BA
28;61;Bahia
43;406;Bahia
77;751;Bahia
82;248;Bahia
105;811;Bahia
128;920;Bahia
147;442;Bahia
190;820;Bahia
197;777;Bahia
198;294;Bahia
215;582;Bahia
217;318;Bahia
244;958;Bahia
253;956;Bahia
263;769;Bahia
273;7;Bahia
275;646;Bahia
280;875;Bahia
324;595;Bahia
326;391;Bahia
354;126;Bahia
356;392;Bahia
407;247;Bahia
428;877;Bahia
470;914;Bahia
482;918;Bahia
507;551;Bahia
528;978;Bahia
570;626;Bahia
582;702;Bahia
616;20;Bahia
653;936;Bahia
664;766;Bahia
697;429;Bahia
710;158;Bahia
720;333;Bahia
775;302;Bahia
801;464;Bahia
812;939;Bahia
832;959;Bahia
848;337;Bahia
851;804;Bahia
906;687;Bahia
925;400;Bahia
929;782;Bahia
4;619;CE
54;578;CE
106;631;CE
118;671;CE
166;428;CE
183;173;CE
232;238;CE
236;423;CE
270;927;CE
274;807;CE
352;175;CE
357;760;CE
375;913;CE
396;904;CE
425;962;CE
465;232;CE
479;499;CE
525;970;CE
565;591;CE
579;789;CE
639;112;CE
693;241;CE
737;761;CE
764;138;CE
769;374;CE
776;288;CE
829;214;CE
985;201;CE
5;226;Ceará
14;447;Ceará
22;223;Ceará
181;717;Ceará
203;722;Ceará
267;911;Ceará
289;926;Ceará
320;635;Ceará
350;941;Ceará
603;682;Ceará
645;492;Ceará
677;592;Ceará
694;399;Ceará
752;951;Ceará
820;326;Ceará
827;648;Ceará
866;458;Ceará
891;293;Ceará
909;763;Ceará
936;901;Ceará
946;966;Ceará
986;905;Ceará
987;489;Ceará
7;653;GO
52;688;GO
113;165;GO
185;456;GO
200;167;GO
257;798;GO
262;422;GO
351;212;GO
365;634;GO
830;952;GO
854;903;GO
912;880;GO
949;352;GO
958;101;GO
969;376;GO
90;413;Goiás
187;378;Goiás
228;27;Goiás
229;689;Goiás
432;285;Goiás
532;982;Goiás
619;999;Goiás
636;659;Goiás
649;120;Goiás
681;362;Goiás
704;613;Goiás
734;229;Goiás
870;791;Goiás
873;665;Goiás
876;188;Goiás
880;938;Goiás
910;103;Goiás
988;567;Goiás
37;296;MA
66;519;MA
81;424;MA
96;234;MA
114;204;MA
123;79;MA
125;540;MA
188;934;MA
247;197;MA
290;621;MA
333;948;MA
393;353;MA
454;122;MA
467;706;MA
469;738;MA
471;895;MA
554;598;MA
567;944;MA
569;611;MA
571;83;MA
614;607;MA
647;303;MA
687;623;MA
713;508;MA
760;472;MA
861;162;MA
899;349;MA
940;50;MA
951;467;MA
36;382;MG
48;868;MG
49;171;MG
51;835;MG
64;517;MG
72;53;MG
87;697;MG
97;219;MG
101;775;MG
104;498;MG
116;113;MG
131;523;MG
148;71;MG
156;327;MG
213;818;MG
237;700;MG
240;601;MG
250;771;MG
260;819;MG
265;579;MG
299;533;MG
302;375;MG
381;280;MG
388;506;MG
391;305;MG
402;654;MG
415;427;MG
430;324;MG
443;313;MG
457;528;MG
462;340;MG
502;612;MG
515;588;MG
530;155;MG
543;58;MG
557;184;MG
562;784;MG
611;258;MG
633;614;MG
640;491;MG
641;667;MG
660;902;MG
669;940;MG
691;894;MG
709;225;MG
717;377;MG
746;562;MG
780;195;MG
800;795;MG
810;641;MG
846;581;MG
847;870;MG
853;679;MG
867;2;MG
879;150;MG
886;453;MG
903;694;MG
914;6;MG
943;450;MG
950;599;MG
953;463;MG
957;721;MG
964;78;MG
965;972;MG
15;130;Maranhão
35;660;Maranhão
47;260;Maranhão
60;850;Maranhão
79;815;Maranhão
120;718;Maranhão
161;460;Maranhão
177;812;Maranhão
310;3;Maranhão
319;544;Maranhão
340;379;Maranhão
342;178;Maranhão
344;206;Maranhão
353;930;Maranhão
431;874;Maranhão
445;277;Maranhão
448;842;Maranhão
449;749;Maranhão
450;622;Maranhão
488;415;Maranhão
494;873;Maranhão
531;92;Maranhão
545;47;Maranhão
548;825;Maranhão
549;869;Maranhão
550;883;Maranhão
588;346;Maranhão
594;536;Maranhão
602;387;Maranhão
657;892;Maranhão
673;153;Maranhão
692;514;Maranhão
716;526;Maranhão
766;822;Maranhão
771;360;Maranhão
821;803;Maranhão
824;617;Maranhão
6;691;Minas Gerais
69;787;Minas Gerais
71;500;Minas Gerais
86;961;Minas Gerais
115;431;Minas Gerais
134;594;Minas Gerais
184;366;Minas Gerais
225;673;Minas Gerais
241;852;Minas Gerais
258;445;Minas Gerais
269;740;Minas Gerais
281;545;Minas Gerais
284;37;Minas Gerais
287;287;Minas Gerais
293;636;Minas Gerais
313;425;Minas Gerais
317;370;Minas Gerais
348;403;Minas Gerais
358;446;Minas Gerais
364;412;Minas Gerais
377;587;Minas Gerais
386;743;Minas Gerais
405;741;Minas Gerais
414;344;Minas Gerais
426;705;Minas Gerais
437;263;Minas Gerais
447;132;Minas Gerais
456;484;Minas Gerais
487;440;Minas Gerais
505;752;Minas Gerais
514;813;Minas Gerais
526;295;Minas Gerais
537;149;Minas Gerais
547;495;Minas Gerais
556;270;Minas Gerais
587;988;Minas Gerais
612;675;Minas Gerais
630;737;Minas Gerais
638;765;Minas Gerais
659;438;Minas Gerais
662;116;Minas Gerais
689;267;Minas Gerais
708;867;Minas Gerais
731;639;Minas Gerais
733;319;Minas Gerais
745;861;Minas Gerais
763;317;Minas Gerais
788;394;Minas Gerais
790;773;Minas Gerais
816;397;Minas Gerais
834;271;Minas Gerais
838;501;Minas Gerais
858;449;Minas Gerais
859;142;Minas Gerais
898;801;Minas Gerais
918;32;Minas Gerais
922;817;Minas Gerais
928;530;Minas Gerais
939;235;Minas Gerais
945;99;Minas Gerais
972;589;Minas Gerais
992;628;Minas Gerais
11;838;PA
93;304;PA
112;550;PA
149;156;PA
154;885;PA
165;996;PA
436;251;PA
453;168;PA
536;531;PA
553;615;PA
610;714;PA
678;242;PA
938;90;PA
954;332;PA
34;395;PB
145;748;PB
146;746;PB
429;421;PB
529;572;PB
617;127;PB
699;452;PB
774;960;PB
995;45;PB
997;853;PB
23;527;PE
45;553;PE
85;516;PE
167;398;PE
223;921;PE
226;774;PE
242;221;PE
256;351;PE
285;407;PE
291;325;PE
331;297;PE
367;89;PE
369;829;PE
406;908;PE
439;907;PE
485;433;PE
506;250;PE
539;708;PE
585;521;PE
604;419;PE
626;496;PE
631;16;PE
634;949;PE
718;503;PE
721;504;PE
750;576;PE
779;756;PE
806;821;PE
828;485;PE
850;299;PE
892;185;PE
894;556;PE
923;643;PE
2;335;PR
18;371;PR
84;539;PR
102;629;PR
103;863;PR
110;935;PR
395;616;PR
440;925;PR
473;541;PR
476;809;PR
480;866;PR
540;713;PR
573;858;PR
576;163;PR
580;693;PR
643;975;PR
651;301;PR
665;471;PR
668;560;PR
671;663;PR
688;30;PR
725;36;PR
732;411;PR
736;989;PR
802;186;PR
814;111;PR
822;444;PR
835;704;PR
837;274;PR
896;922;PR
931;176;PR
982;640;PR
95;330;Paraná
121;522;Paraná
127;286;Paraná
130;131;Paraná
133;218;Paraná
155;633;Paraná
179;329;Paraná
195;724;Paraná
216;505;Paraná
252;448;Paraná
325;994;Paraná
361;108;Paraná
484;655;Paraná
584;849;Paraná
683;573;Paraná
742;928;Paraná
778;792;Paraná
785;828;Paraná
839;916;Paraná
878;339;Paraná
937;992;Paraná
952;933;Paraná
998;882;Paraná
21;106;Paraíba
144;658;Paraíba
255;666;Paraíba
266;104;Paraíba
296;84;Paraíba
329;725;Paraíba
690;790;Paraíba
795;979;Paraíba
833;570;Paraíba
875;434;Paraíba
30;459;Pará
46;74;Pará
76;767;Pará
138;67;Pará
150;388;Pará
164;830;Pará
211;512;Pará
330;493;Pará
