ED;ID;Salario;Prox.Salario
607;513;R$5,001;0
712;310;R$5,007;0
496;699;R$5,012;596
596;824;R$5,012;0
395;616;R$5,017;0
791;590;R$5,021;0
257;798;R$5,026;400
400;205;R$5,026;710
710;158;R$5,026;0
452;367;R$5,035;552
552;207;R$5,035;0
93;304;R$5,038;0
601;356;R$5,050;0
620;977;R$5,051;0
386;743;R$5,057;992
992;628;R$5,057;0
944;563;R$5,081;0
914;6;R$5,099;0
35;660;R$5,100;0
432;285;R$5,111;532
532;982;R$5,111;0
98;410;R$5,113;0
796;802;R$5,129;0
645;492;R$5,143;0
465;232;R$5,155;565
565;591;R$5,155;0
163;237;R$5,158;0
719;674;R$5,168;0
239;148;R$5,172;0
149;156;R$5,213;0
162;872;R$5,214;654
654;55;R$5,214;0
676;580;R$5,219;0
332;799;R$5,225;0
863;466;R$5,238;0
661;98;R$5,241;0
938;90;R$5,242;0
979;860;R$5,246;0
283;292;R$5,252;0
962;768;R$5,270;0
364;412;R$5,271;0
340;379;R$5,272;0
122;862;R$5,274;0
792;257;R$5,277;0
771;360;R$5,283;0
947;476;R$5,290;0
299;533;R$5,291;0
67;38;R$5,292;0
310;3;R$5,300;816
816;397;R$5,300;0
85;516;R$5,301;0
459;12;R$5,334;559
559;15;R$5,334;0
622;805;R$5,335;861
861;162;R$5,335;0
854;903;R$5,346;922
922;817;R$5,346;0
223;921;R$5,347;0
288;490;R$5,350;0
75;703;R$5,359;0
690;790;R$5,362;0
49;171;R$5,385;0
967;559;R$5,388;0
245;436;R$5,400;0
737;761;R$5,401;0
110;935;R$5,407;0
803;68;R$5,412;0
339;345;R$5,414;0
472;917;R$5,435;572
572;314;R$5,435;0
279;475;R$5,436;0
65;328;R$5,438;0
403;707;R$5,439;503
503;455;R$5,439;0
387;338;R$5,441;0
794;164;R$5,444;0
29;739;R$5,450;0
334;147;R$5,452;0
943;450;R$5,455;0
393;353;R$5,466;0
706;469;R$5,468;0
127;286;R$5,473;614
614;607;R$5,473;0
195;724;R$5,482;0
500;844;R$5,492;600
600;535;R$5,492;839
839;916;R$5,492;0
786;780;R$5,493;0
448;842;R$5,495;548
548;825;R$5,495;0
289;926;R$5,497;0
323;608;R$5,511;0
141;105;R$5,515;0
848;337;R$5,517;0
884;786;R$5,520;0
440;925;R$5,522;540
540;713;R$5,522;0
174;625;R$5,524;383
383;919;R$5,524;0
801;464;R$5,531;0
284;37;R$5,557;0
293;636;R$5,562;0
652;683;R$5,564;0
783;95;R$5,573;0
208;110;R$5,575;0
818;731;R$5,582;0
359;681;R$5,587;0
621;254;R$5,607;0
4;619;R$5,609;431
431;874;R$5,609;531
531;92;R$5,609;0
190;820;R$5,611;0
973;341;R$5,616;0
263;769;R$5,626;0
699;452;R$5,635;0
416;348;R$5,646;516
516;77;R$5,646;0
897;291;R$5,647;0
371;389;R$5,663;0
113;165;R$5,666;0
136;627;R$5,677;0
767;552;R$5,688;0
184;366;R$5,697;0
108;96;R$5,707;399
399;734;R$5,707;0
950;599;R$5,729;0
729;547;R$5,730;0
917;965;R$5,749;0
811;886;R$5,754;0
413;233;R$5,755;513
513;358;R$5,755;0
998;882;R$5,759;0
961;1;R$5,765;0
206;240;R$5,766;0
147;442;R$5,767;0
875;434;R$5,771;0
445;277;R$5,782;545
545;47;R$5,782;0
408;243;R$5,794;508
508;668;R$5,794;0
759;937;R$5,796;0
100;931;R$5,800;0
984;134;R$5,801;0
185;456;R$5,809;0
905;575;R$5,816;0
248;719;R$5,824;885
885;840;R$5,824;0
230;742;R$5,835;708
708;867;R$5,835;0
155;633;R$5,837;0
178;793;R$5,851;0
428;877;R$5,852;528
528;978;R$5,852;0
829;214;R$5,853;0
809;479;R$5,856;0
898;801;R$5,863;0
940;50;R$5,868;0
755;561;R$5,875;0
960;827;R$5,879;0
747;596;R$5,882;0
187;378;R$5,883;0
212;18;R$5,885;0
137;893;R$5,894;0
375;913;R$5,907;0
61;715;R$5,908;0
182;43;R$5,909;0
680;991;R$5,911;0
351;212;R$5,919;844
844;179;R$5,919;0
261;750;R$5,927;0
754;48;R$5,929;0
157;557;R$5,930;0
836;554;R$5,933;0
817;637;R$5,940;0
705;564;R$5,943;0
895;124;R$5,957;0
166;428;R$5,971;0
68;75;R$5,973;0
856;980;R$5,978;0
56;437;R$5,980;0
421;24;R$5,985;521
521;630;R$5,985;0
391;305;R$5,986;0
382;987;R$5,991;0
54;578;R$5,996;0
732;411;R$6,002;0
953;463;R$6,009;0
785;828;R$6,010;0
348;403;R$6,028;0
487;440;R$6,033;587
587;988;R$6,033;0
158;947;R$6,040;0
954;332;R$6,043;0
308;758;R$6,050;0
177;812;R$6,060;0
758;716;R$6,085;0
752;951;R$6,088;787
787;1000;R$6,088;0
42;538;R$6,099;946
946;966;R$6,099;0
860;316;R$6,118;0
274;807;R$6,120;0
319;544;R$6,149;0
228;27;R$6,155;0
835;704;R$6,160;0
7;653;R$6,168;0
335;800;R$6,175;0
370;574;R$6,176;0
673;153;R$6,185;0
211;512;R$6,192;451
451;932;R$6,192;551
551;21;R$6,192;0
355;117;R$6,197;0
13;762;R$6,217;0
810;641;R$6,228;0
144;658;R$6,236;0
925;400;R$6,265;0
498;10;R$6,270;598
598;542;R$6,270;0
37;296;R$6,271;0
939;235;R$6,277;0
977;810;R$6,278;0
88;166;R$6,279;0
458;964;R$6,282;558
558;754;R$6,282;0
419;269;R$6,292;519
519;119;R$6,292;0
994;990;R$6,296;0
232;238;R$6,297;0
643;975;R$6,302;0
272;745;R$6,306;0
760;472;R$6,308;0
474;236;R$6,314;574
574;468;R$6,314;0
381;280;R$6,321;0
19;276;R$6,322;0
125;540;R$6,328;0
201;891;R$6,348;0
102;629;R$6,361;0
345;123;R$6,368;410
410;841;R$6,368;510
510;417;R$6,368;0
927;315;R$6,372;0
321;200;R$6,379;0
193;252;R$6,385;0
890;9;R$6,386;0
324;595;R$6,388;0
723;31;R$6,391;0
915;441;R$6,399;0
322;865;R$6,401;0
237;700;R$6,407;0
265;579;R$6,409;0
489;203;R$6,417;589
589;833;R$6,417;743
743;107;R$6,417;0
683;573;R$6,421;0
603;682;R$6,423;0
722;308;R$6,431;0
229;689;R$6,433;0
128;920;R$6,436;0
280;875;R$6,442;0
304;56;R$6,444;0
135;680;R$6,445;0
444;170;R$6,450;544
544;386;R$6,450;0
782;264;R$6,463;0
615;735;R$6,465;0
287;287;R$6,467;0
725;36;R$6,471;746
746;562;R$6,471;0
77;751;R$6,496;0
154;885;R$6,499;0
80;998;R$6,502;0
751;154;R$6,503;0
101;775;R$6,505;0
251;430;R$6,512;0
368;152;R$6,514;0
411;881;R$6,518;511
511;701;R$6,518;0
290;621;R$6,524;0
16;72;R$6,534;394
394;189;R$6,534;0
297;864;R$6,539;721
721;504;R$6,539;0
33;253;R$6,542;0
904;69;R$6,550;0
813;133;R$6,553;0
365;634;R$6,557;0
215;582;R$6,561;0
425;962;R$6,564;525
525;970;R$6,564;0
454;122;R$6,586;554
554;598;R$6,586;0
197;777;R$6,588;0
907;465;R$6,590;0
352;175;R$6,601;0
631;16;R$6,606;0
328;620;R$6,612;0
763;317;R$6,618;0
651;301;R$6,629;0
902;100;R$6,633;0
679;159;R$6,634;0
930;402;R$6,637;0
788;394;R$6,639;0
415;427;R$6,644;515
515;588;R$6,644;0
344;206;R$6,657;0
903;694;R$6,660;0
159;380;R$6,662;0
987;489;R$6,666;0
336;518;R$6,669;0
726;393;R$6,683;0
87;697;R$6,685;0
952;933;R$6,686;0
380;953;R$6,688;484
484;655;R$6,688;584
584;849;R$6,688;0
921;571;R$6,689;0
618;54;R$6,694;0
691;894;R$6,696;0
609;202;R$6,697;0
800;795;R$6,698;0
983;246;R$6,704;0
772;300;R$6,706;0
919;401;R$6,708;0
686;783;R$6,724;0
457;528;R$6,730;557
557;184;R$6,730;0
275;646;R$6,731;0
24;529;R$6,733;0
900;418;R$6,737;0
225;673;R$6,740;0
812;939;R$6,743;0
668;560;R$6,745;0
748;642;R$6,749;0
55;161;R$6,760;0
5;226;R$6,778;0
972;589;R$6,782;0
298;983;R$6,783;0
777;194;R$6,784;0
412;981;R$6,796;512
512;486;R$6,796;0
963;372;R$6,807;988
988;567;R$6,807;0
720;333;R$6,811;0
462;340;R$6,813;562
562;784;R$6,813;0
825;239;R$6,827;0
72;53;R$6,871;0
956;128;R$6,873;0
865;997;R$6,874;0
205;645;R$6,881;0
807;5;R$6,882;0
39;481;R$6,893;0
124;420;R$6,894;0
888;568;R$6,902;0
659;438;R$6,909;0
192;350;R$6,910;0
470;914;R$6,911;570
570;626;R$6,911;0
862;806;R$6,915;0
76;767;R$6,921;0
879;150;R$6,924;0
277;40;R$6,928;0
156;327;R$6,930;0
9;546;R$6,933;0
151;678;R$6,951;0
103;863;R$6,956;0
688;30;R$6,960;0
213;818;R$6,965;0
995;45;R$6,966;0
647;303;R$6,971;0
242;221;R$6,977;0
736;989;R$6,981;0
346;897;R$6,982;0
81;424;R$6,983;0
27;730;R$7,005;0
637;115;R$7,023;0
91;888;R$7,025;0
202;355;R$7,030;0
868;993;R$7,033;0
766;822;R$7,037;0
23;527;R$7,043;0
22;223;R$7,044;0
