ED;ID;Sobrenome;Prox.Sobrenome
961;1;Matthews;0
867;2;Mccray;0
310;3;Dennis;0
990;4;Warren;0
807;5;Morse;0
914;6;Conrad;0
273;7;Mercer;945
845;8;Mckenzie;0
890;9;Kaufman;0
498;10;Whitney;598
702;11;Cooley;0
459;12;Strong;559
53;13;Yates;72
871;14;Higgins;0
559;15;Strong;994
631;16;Boyd;779
463;17;Hunter;563
212;18;Larsen;0
481;19;Rodriguez;581
616;20;Medina;0
551;21;Casey;765
698;22;Graham;930
605;23;Poole;0
421;24;Gillespie;521
749;25;Newton;0
852;26;Pittman;0
228;27;Hunter;230
672;28;Alvarado;0
254;29;Malone;743
688;30;Oneil;690
723;31;Powers;0
918;32;Frederick;0
564;33;Wilder;0
70;34;Perry;201
561;35;Knight;0
725;36;Phelps;0
284;37;Grimes;0
67;38;Santos;136
119;39;Suarez;0
277;40;Hancock;0
955;41;Donaldson;0
684;42;Savage;0
182;43;Miller;641
300;44;Mitchell;343
995;45;Fischer;0
628;46;Bernard;0
545;47;Short;0
754;48;Potts;0
282;49;Patrick;0
940;50;Bird;0
495;51;Hinton;595
132;52;Whitley;0
72;53;Yates;0
618;54;Snider;0
654;55;Brock;0
304;56;Gamble;0
44;57;Saunders;381
543;58;Villarreal;0
658;59;Pope;0
627;60;Winters;984
28;61;Stark;936
398;62;Moran;674
204;63;Shannon;682
881;64;Cameron;0
887;65;Padilla;0
233;66;Molina;0
138;67;Gregory;154
803;68;Woodard;0
904;69;Crosby;0
744;70;Rhodes;0
148;71;Logan;724
16;72;Dodson;0
59;73;Whitehead;0
46;74;Coffey;736
68;75;Rose;899
259;76;Delgado;471
516;77;Galloway;971
964;78;Jacobs;0
123;79;Mcmillan;216
186;80;Mclean;0
424;81;Conley;524
25;82;Brown;198
571;83;Delgado;0
296;84;Valencia;0
220;85;Mcgowan;0
978;86;Bonner;0
934;87;Cole;0
17;88;Estes;883
367;89;Meyers;0
938;90;Shepherd;0
315;91;Nicholson;825
