ED;ID;Cidade;Prox.Cidade
961;1;Caxias do Sul;0
867;2;Ribeirão das Neves;965
310;3;Barra do Corda;393
990;4;Nova Iguaçu;999
807;5;Mauá;911
914;6;Sete Lagoas;939
273;7;Itabuna;421
845;8;São Gonçalo;852
890;9;Ribeirão Preto;905
498;10;Rio Grande;598
702;11;Diadema;823
459;12;Carapicuíba;503
53;13;Mogi das Cruzes;89
871;14;Blumenau;967
559;15;Carapicuíba;605
631;16;Paulista;923
463;17;Jaboatão dos Guararapes;563
212;18;Campinas;222
481;19;Petrópolis;499
616;20;Itabuna;863
551;21;Castanhal;678
698;22;Campos dos Goytacazes;730
605;23;Carapicuíba;621
421;24;Itabuna;521
749;25;Ilhéus;798
852;26;São Gonçalo;857
228;27;Valparaíso de Goiás;229
672;28;Abaetetuba;0
254;29;Blumenau;680
688;30;Curitiba;896
723;31;Jundiaí;799
918;32;Divinópolis;928
564;33;Itajaí;686
70;34;Osasco;88
561;35;Santa Maria;606
725;36;Ponta Grossa;736
284;37;Belo Horizonte;302
67;38;Mauá;68
119;39;Osasco;135
277;40;Camaçari;300
955;41;Porto Alegre;996
684;42;Rio de Janeiro;685
182;43;São João de Meriti;334
300;44;Camaçari;311
995;45;Bayeux;997
628;46;Jundiaí;635
545;47;Caxias;766
754;48;Carapicuíba;841
282;49;Duque de Caxias;490
940;50;Barra do Corda;0
495;51;Diadema;520
132;52;Ribeirão Preto;137
72;53;Uberaba;240
618;54;Diadema;632
654;55;Canoas;658
304;56;Campinas;309
44;57;Mogi das Cruzes;53
543;58;Montes Claros;556
658;59;Canoas;907
627;60;Jundiaí;628
28;61;Juazeiro;263
398;62;Campinas;446
204;63;Campos dos Goytacazes;301
881;64;Guarulhos;885
887;65;Santa Maria;917
233;66;Mogi das Cruzes;234
138;67;Castanhal;149
803;68;Guarulhos;825
904;69;Piracicaba;919
744;70;Ribeirão Preto;756
148;71;Governador Valadares;184
16;72;Chapecó;74
59;73;Carapicuíba;61
46;74;Santarém;0
68;75;Mauá;111
259;76;Ribeirão Preto;268
516;77;Campos dos Goytacazes;698
964;78;Sete Lagoas;0
123;79;Açailândia;449
186;80;Itajaí;249
424;81;Mauá;438
25;82;Joinville;235
571;83;Santa Inês;713
296;84;Cajazeiras;0
220;85;Rio de Janeiro;460
978;86;Diadema;980
