ED;ID;Salario
607;513;R$5,001
712;310;R$5,007
496;699;R$5,012
596;824;R$5,012
395;616;R$5,017
791;590;R$5,021
257;798;R$5,026
400;205;R$5,026
710;158;R$5,026
452;367;R$5,035
552;207;R$5,035
93;304;R$5,038
601;356;R$5,050
620;977;R$5,051
386;743;R$5,057
992;628;R$5,057
944;563;R$5,081
914;6;R$5,099
35;660;R$5,100
432;285;R$5,111
532;982;R$5,111
98;410;R$5,113
796;802;R$5,129
645;492;R$5,143
465;232;R$5,155
565;591;R$5,155
163;237;R$5,158
719;674;R$5,168
239;148;R$5,172
149;156;R$5,213
162;872;R$5,214
654;55;R$5,214
676;580;R$5,219
332;799;R$5,225
863;466;R$5,238
661;98;R$5,241
938;90;R$5,242
979;860;R$5,246
283;292;R$5,252
962;768;R$5,270
364;412;R$5,271
340;379;R$5,272
122;862;R$5,274
792;257;R$5,277
771;360;R$5,283
947;476;R$5,290
299;533;R$5,291
67;38;R$5,292
310;3;R$5,300
816;397;R$5,300
85;516;R$5,301
459;12;R$5,334
559;15;R$5,334
622;805;R$5,335
861;162;R$5,335
854;903;R$5,346
922;817;R$5,346
223;921;R$5,347
288;490;R$5,350
75;703;R$5,359
690;790;R$5,362
49;171;R$5,385
967;559;R$5,388
245;436;R$5,400
737;761;R$5,401
110;935;R$5,407
803;68;R$5,412
339;345;R$5,414
472;917;R$5,435
572;314;R$5,435
279;475;R$5,436
65;328;R$5,438
403;707;R$5,439
503;455;R$5,439
387;338;R$5,441
794;164;R$5,444
29;739;R$5,450
334;147;R$5,452
943;450;R$5,455
393;353;R$5,466
706;469;R$5,468
127;286;R$5,473
614;607;R$5,473
195;724;R$5,482
500;844;R$5,492
600;535;R$5,492
839;916;R$5,492
786;780;R$5,493
448;842;R$5,495
548;825;R$5,495
289;926;R$5,497
323;608;R$5,511
141;105;R$5,515
848;337;R$5,517
884;786;R$5,520
440;925;R$5,522
540;713;R$5,522
174;625;R$5,524
383;919;R$5,524
801;464;R$5,531
284;37;R$5,557
293;636;R$5,562
652;683;R$5,564
783;95;R$5,573
208;110;R$5,575
818;731;R$5,582
359;681;R$5,587
621;254;R$5,607
4;619;R$5,609
431;874;R$5,609
531;92;R$5,609
190;820;R$5,611
973;341;R$5,616
263;769;R$5,626
699;452;R$5,635
416;348;R$5,646
516;77;R$5,646
897;291;R$5,647
371;389;R$5,663
113;165;R$5,666
136;627;R$5,677
767;552;R$5,688
184;366;R$5,697
108;96;R$5,707
399;734;R$5,707
950;599;R$5,729
729;547;R$5,730
917;965;R$5,749
811;886;R$5,754
413;233;R$5,755
513;358;R$5,755
998;882;R$5,759
961;1;R$5,765
206;240;R$5,766
147;442;R$5,767
875;434;R$5,771
445;277;R$5,782
545;47;R$5,782
408;243;R$5,794
508;668;R$5,794
759;937;R$5,796
100;931;R$5,800
984;134;R$5,801
185;456;R$5,809
905;575;R$5,816
248;719;R$5,824
885;840;R$5,824
230;742;R$5,835
708;867;R$5,835
155;633;R$5,837
178;793;R$5,851
428;877;R$5,852
528;978;R$5,852
829;214;R$5,853
809;479;R$5,856
898;801;R$5,863
940;50;R$5,868
755;561;R$5,875
960;827;R$5,879
747;596;R$5,882
187;378;R$5,883
212;18;R$5,885
137;893;R$5,894
375;913;R$5,907
61;715;R$5,908
182;43;R$5,909
680;991;R$5,911
351;212;R$5,919
844;179;R$5,919
261;750;R$5,927
754;48;R$5,929
157;557;R$5,930
836;554;R$5,933
817;637;R$5,940
705;564;R$5,943
895;124;R$5,957
166;428;R$5,971
68;75;R$5,973
856;980;R$5,978
56;437;R$5,980
421;24;R$5,985
521;630;R$5,985
391;305;R$5,986
382;987;R$5,991
54;578;R$5,996
732;411;R$6,002
953;463;R$6,009
785;828;R$6,010
348;403;R$6,028
487;440;R$6,033
587;988;R$6,033
158;947;R$6,040
954;332;R$6,043
308;758;R$6,050
177;812;R$6,060
758;716;R$6,085
752;951;R$6,088
787;1000;R$6,088
42;538;R$6,099
946;966;R$6,099
860;316;R$6,118
274;807;R$6,120
319;544;R$6,149
228;27;R$6,155
835;704;R$6,160
7;653;R$6,168
335;800;R$6,175
370;574;R$6,176
673;153;R$6,185
211;512;R$6,192
451;932;R$6,192
551;21;R$6,192
355;117;R$6,197
13;762;R$6,217
810;641;R$6,228
144;658;R$6,236
925;400;R$6,265
498;10;R$6,270
598;542;R$6,270
37;296;R$6,271
939;235;R$6,277
977;810;R$6,278
88;166;R$6,279
458;964;R$6,282
558;754;R$6,282
419;269;R$6,292
519;119;R$6,292
994;990;R$6,296
232;238;R$6,297
643;975;R$6,302
272;745;R$6,306
760;472;R$6,308
474;236;R$6,314
574;468;R$6,314
381;280;R$6,321
19;276;R$6,322
125;540;R$6,328
201;891;R$6,348
102;629;R$6,361
345;123;R$6,368
410;841;R$6,368
510;417;R$6,368
927;315;R$6,372
321;200;R$6,379
193;252;R$6,385
890;9;R$6,386
324;595;R$6,388
723;31;R$6,391
915;441;R$6,399
322;865;R$6,401
237;700;R$6,407
265;579;R$6,409
489;203;R$6,417
589;833;R$6,417
743;107;R$6,417
683;573;R$6,421
603;682;R$6,423
722;308;R$6,431
229;689;R$6,433
128;920;R$6,436
280;875;R$6,442
304;56;R$6,444
135;680;R$6,445
444;170;R$6,450
544;386;R$6,450
782;264;R$6,463
615;735;R$6,465
287;287;R$6,467
725;36;R$6,471
746;562;R$6,471
77;751;R$6,496
154;885;R$6,499
80;998;R$6,502
751;154;R$6,503
101;775;R$6,505
251;430;R$6,512
368;152;R$6,514
411;881;R$6,518
511;701;R$6,518
290;621;R$6,524
16;72;R$6,534
394;189;R$6,534
297;864;R$6,539
721;504;R$6,539
33;253;R$6,542
904;69;R$6,550
813;133;R$6,553
365;634;R$6,557
215;582;R$6,561
425;962;R$6,564
525;970;R$6,564
454;122;R$6,586
554;598;R$6,586
197;777;R$6,588
