ED;ID;Estado_Civil;Prox.Estado_Civil
961;1;Solteiro;962
867;2;Divorciado;868
310;3;Viúvo;312
990;4;Casado;994
807;5;Viúvo;809
914;6;Casado;915
273;7;Casado;281
845;8;Divorciado;848
890;9;Divorciado;893
498;10;Solteiro;499
702;11;Viúvo;703
459;12;Casado;465
53;13;Viúvo;54
871;14;Viúvo;874
559;15;Casado;565
631;16;Divorciado;632
463;17;Divorciado;470
212;18;Solteiro;216
481;19;Viúvo;482
616;20;Viúvo;624
551;21;Casado;553
698;22;Viúvo;699
605;23;Viúvo;606
421;24;Casado;422
749;25;Solteiro;752
852;26;Divorciado;856
228;27;Divorciado;229
672;28;Divorciado;675
254;29;Solteiro;260
688;30;Solteiro;694
723;31;Casado;725
918;32;Casado;920
564;33;Solteiro;577
70;34;Viúvo;88
561;35;Divorciado;563
725;36;Casado;734
284;37;Solteiro;287
67;38;Solteiro;69
119;39;Divorciado;122
277;40;Solteiro;282
955;41;Viúvo;956
684;42;Solteiro;686
182;43;Casado;184
300;44;Divorciado;302
995;45;Viúvo;997
628;46;Divorciado;631
545;47;Casado;550
754;48;Solteiro;765
282;49;Solteiro;284
940;50;Solteiro;944
495;51;Viúvo;497
132;52;Viúvo;133
72;53;Casado;74
618;54;Divorciado;619
654;55;Viúvo;659
304;56;Solteiro;308
44;57;Solteiro;50
543;58;Solteiro;546
658;59;Solteiro;661
627;60;Solteiro;637
28;61;Viúvo;35
398;62;Casado;399
204;63;Viúvo;206
881;64;Viúvo;886
887;65;Casado;889
233;66;Divorciado;238
138;67;Viúvo;141
803;68;Divorciado;806
904;69;Divorciado;908
744;70;Casado;750
148;71;Divorciado;153
16;72;Divorciado;18
59;73;Divorciado;65
46;74;Viúvo;52
68;75;Viúvo;70
259;76;Casado;270
516;77;Viúvo;520
964;78;Viúvo;967
123;79;Casado;125
186;80;Viúvo;190
424;81;Solteiro;425
25;82;Viúvo;28
571;83;Divorciado;583
296;84;Solteiro;303
220;85;Viúvo;222
978;86;Solteiro;979
934;87;Viúvo;935
17;88;Casado;26
367;89;Divorciado;374
938;90;Viúvo;950
315;91;Casado;316
531;92;Casado;533
843;93;Viúvo;844
753;94;Divorciado;762
783;95;Divorciado;789
108;96;Divorciado;109
235;97;Solteiro;247
661;98;Solteiro;663
945;99;Solteiro;960
902;100;Casado;905
958;101;Casado;959
392;102;Viúvo;394
910;103;Divorciado;911
266;104;Divorciado;267
141;105;Viúvo;142
21;106;Viúvo;22
743;107;Casado;744
361;108;Casado;366
401;109;Solteiro;424
208;110;Viúvo;209
814;111;Casado;815
639;112;Solteiro;645
116;113;Divorciado;119
667;114;Divorciado;668
637;115;Solteiro;639
662;116;Viúvo;665
355;117;Solteiro;360
343;118;Solteiro;349
519;119;Divorciado;532
649;120;Viúvo;653
869;121;Solteiro;880
454;122;Viúvo;468
345;123;Divorciado;348
895;124;Divorciado;899
819;125;Solteiro;826
354;126;Viúvo;362
617;127;Divorciado;618
956;128;Viúvo;964
675;129;Divorciado;681
15;130;Divorciado;16
130;131;Divorciado;139
447;132;Divorciado;449
813;133;Casado;814
984;134;Viúvo;989
92;135;Divorciado;94
635;136;Viúvo;644
968;137;Casado;969
764;138;Casado;767
276;139;Viúvo;278
642;140;Divorciado;643
441;141;Viúvo;454
859;142;Casado;860
169;143;Divorciado;170
464;144;Solteiro;477
207;145;Viúvo;208
916;146;Viúvo;923
334;147;Viúvo;335
239;148;Divorciado;241
537;149;Solteiro;543
879;150;Divorciado;890
478;151;Casado;484
368;152;Casado;369
673;153;Solteiro;674
751;154;Viúvo;756
530;155;Casado;531
149;156;Viúvo;151
301;157;Viúvo;305
710;158;Viúvo;713
679;159;Viúvo;682
390;160;Divorciado;393
55;161;Solteiro;61
861;162;Solteiro;864
576;163;Viúvo;579
794;164;Viúvo;795
113;165;Solteiro;114
88;166;Viúvo;90
200;167;Solteiro;201
453;168;Casado;455
214;169;Divorciado;219
444;170;Divorciado;447
49;171;Casado;60
295;172;Divorciado;297
183;173;Solteiro;191
941;174;Divorciado;943
352;175;Casado;353
931;176;Divorciado;933
566;177;Casado;567
342;178;Casado;347
844;179;Viúvo;847
798;180;Viúvo;807
872;181;Divorciado;875
815;182;Casado;824
175;183;Divorciado;187
557;184;Divorciado;561
892;185;Casado;898
802;186;Divorciado;803
826;187;Solteiro;827
876;188;Viúvo;881
394;189;Viúvo;400
730;190;Solteiro;731
741;191;Solteiro;745
756;192;Viúvo;757
546;193;Solteiro;548
777;194;Viúvo;787
780;195;Casado;781
666;196;Viúvo;670
247;197;Solteiro;254
648;198;Divorciado;664
12;199;Solteiro;13
321;200;Casado;322
985;201;Divorciado;996
609;202;Viúvo;616
489;203;Divorciado;503
114;204;Solteiro;115
400;205;Viúvo;405
344;206;Viúvo;346
552;207;Divorciado;556
656;208;Casado;683
246;209;Viúvo;248
78;210;Casado;79
739;211;Viúvo;751
351;212;Solteiro;355
271;213;Divorciado;279
829;214;Casado;835
980;215;Divorciado;985
38;216;Solteiro;39
592;217;Casado;594
133;218;Viúvo;134
97;219;Casado;99
999;220;Solteiro;0
242;221;Viúvo;246
765;222;Solteiro;766
22;223;Viúvo;25
913;224;Casado;914
709;225;Solteiro;711
5;226;Divorciado;8
799;227;Divorciado;800
966;228;Solteiro;978
734;229;Casado;743
160;230;Divorciado;162
490;231;Viúvo;491
465;232;Casado;466
413;233;Casado;418
96;234;Divorciado;103
939;235;Divorciado;941
474;236;Viúvo;476
163;237;Casado;166
232;238;Solteiro;235
825;239;Divorciado;834
206;240;Viúvo;207
693;241;Divorciado;695
678;242;Solteiro;680
408;243;Divorciado;409
768;244;Divorciado;769
360;245;Solteiro;363
983;246;Solteiro;986
407;247;Viúvo;411
82;248;Casado;83
152;249;Solteiro;164
506;250;Casado;510
436;251;Viúvo;441
193;252;Viúvo;194
33;253;Divorciado;47
621;254;Divorciado;625
418;255;Casado;421
773;256;Divorciado;778
792;257;Solteiro;793
611;258;Divorciado;612
221;259;Solteiro;224
47;260;Divorciado;48
976;261;Divorciado;977
757;262;Viúvo;758
437;263;Solteiro;443
782;264;Solteiro;792
935;265;Viúvo;938
8;266;Divorciado;14
689;267;Viúvo;692
770;268;Solteiro;772
419;269;Divorciado;432
